id,label,source
http://metadata.un.org/thesaurus#1003062,IMMUNOLOGIC DISEASES,UNBIS
http://metadata.un.org/thesaurus#1000248,ALLUSIONS,UNBIS
http://metadata.un.org/thesaurus#150102,"ART, LITERATURE AND MUSIC",UNBIS
http://metadata.un.org/thesaurus#1005304,QUOTATIONS,UNBIS
http://metadata.un.org/thesaurus#1000249,ALMANACS,UNBIS
http://metadata.un.org/thesaurus#150500,"DOCUMENTATION, LIBRARY AND INFORMATION SCIENCES AND REFERENCE WORKS",UNBIS
http://metadata.un.org/thesaurus#1000775,CALENDARS,UNBIS
http://metadata.un.org/thesaurus#1000250,ALMONDS,UNBIS
http://metadata.un.org/thesaurus#040202,CROPS,UNBIS
http://metadata.un.org/thesaurus#1004541,NUTS,UNBIS
http://metadata.un.org/thesaurus#1000259,AMERICANS,UNBIS
http://metadata.un.org/thesaurus#1006789,UNITED STATES,UNBIS
http://metadata.un.org/thesaurus#1000279,ANDALUSITE,UNBIS
http://metadata.un.org/thesaurus#030900,MINERAL RESOURCES,UNBIS
http://metadata.un.org/thesaurus#1005900,SILICATES,UNBIS
http://metadata.un.org/thesaurus#1000282,ANDORRANS,UNBIS
http://metadata.un.org/thesaurus#1000281,ANDORRA,UNBIS
http://metadata.un.org/thesaurus#1000305,ANIMISM,UNBIS
http://metadata.un.org/thesaurus#1005459,RELIGION,UNBIS
http://metadata.un.org/thesaurus#150300,PHILOSOPHY AND RELIGION,UNBIS
http://metadata.un.org/thesaurus#1000308,ANNONAS,UNBIS
http://metadata.un.org/thesaurus#1002553,FRUIT,UNBIS
http://metadata.un.org/thesaurus#1000311,ANTARCTICA,UNBIS
http://metadata.un.org/thesaurus#1004961,POLAR REGIONS,UNBIS
http://metadata.un.org/thesaurus#170500,POLAR REGIONS,UNBIS
http://metadata.un.org/thesaurus#1000322,ANTIBIOTICS,UNBIS
http://metadata.un.org/thesaurus#1000328,ANTIMONY,UNBIS
http://metadata.un.org/thesaurus#1004439,NON-FERROUS METALS,UNBIS
http://metadata.un.org/thesaurus#1000330,ANTIQUITIES,UNBIS
http://metadata.un.org/thesaurus#1000368,ARCHAEOLOGY,UNBIS
http://metadata.un.org/thesaurus#1000342,APPLES,UNBIS
http://metadata.un.org/thesaurus#1000345,APPOINTMENT OF OFFICIALS,UNBIS
http://metadata.un.org/thesaurus#1006552,TOP ECHELON STAFF,UNBIS
http://metadata.un.org/thesaurus#1000347,APPROPRIATIONS,UNBIS
http://metadata.un.org/thesaurus#180400,FINANCING,UNBIS
http://metadata.un.org/thesaurus#1000708,BUDGET,UNBIS
http://metadata.un.org/thesaurus#1000350,APRICOTS,UNBIS
http://metadata.un.org/thesaurus#1000353,AQUATIC SPORTS,UNBIS
http://metadata.un.org/thesaurus#1006140,SPORTS,UNBIS
http://metadata.un.org/thesaurus#150600,"LEISURE, RECREATION AND SPORTS",UNBIS
http://metadata.un.org/thesaurus#1000357,ARABIAN SEA,UNBIS
http://metadata.un.org/thesaurus#1003099,INDIAN OCEAN,UNBIS
http://metadata.un.org/thesaurus#1000358,ARABIC LANGUAGE,UNBIS
http://metadata.un.org/thesaurus#1005814,SEMITIC LANGUAGES,UNBIS
http://metadata.un.org/thesaurus#1000365,ARBITRATION RULES,UNBIS
http://metadata.un.org/thesaurus#010702,INTERNATIONAL TRADE LAW,UNBIS
http://metadata.un.org/thesaurus#1003286,INTERNATIONAL COMMERCIAL ARBITRATION,UNBIS
http://metadata.un.org/thesaurus#1000366,ARBITRATORS,UNBIS
http://metadata.un.org/thesaurus#010300,MAINTENANCE OF PEACE AND SECURITY,UNBIS
http://metadata.un.org/thesaurus#1000364,ARBITRATION,UNBIS
http://metadata.un.org/thesaurus#1000367,ARCHAEOLOGICAL EXCAVATIONS,UNBIS
